10397,11292,"Atlanta, GA","Denver, CO",1199,0A875,335,R335
11193,11292,"Cincinnati, OH","Denver, CO",1069,0A875,336,R336
11278,11292,"Washington, DC","Denver, CO",1476,0A875,337,R337
11292,10397,"Denver, CO","Atlanta, GA",1199,0A875,338,R338
11292,10721,"Denver, CO","Boston, MA",1754,0A875,339,R339
11292,11278,"Denver, CO","Washington, DC",1476,0A875,340,R340
11292,11884,"Denver, CO","Spokane, WA",836,0A875,341,R341
11292,12278,"Denver, CO","Wichita, KS",420,0A875,342,R342
11292,14492,"Denver, CO","Raleigh/Durham, NC",1436,0A875,343,R343
11292,14689,"Denver, CO","Santa Barbara, CA",916,0A875,344,R344
11292,15304,"Denver, CO","Tampa, FL",1506,0A875,345,R345
11292,15376,"Denver, CO","Tucson, AZ",639,0A875,346,R346
11603,11292,"Eugene, OR","Denver, CO",996,0A875,347,R347
11618,11292,"Newark, NJ","Denver, CO",1605,0A875,348,R348
11884,11292,"Spokane, WA","Denver, CO",836,0A875,349,R349
11986,11292,"Grand Rapids, MI","Denver, CO",1015,0A875,350,R350
12278,11292,"Wichita, KS","Denver, CO",420,0A875,351,R351
12889,11292,"Las Vegas, NV","Denver, CO",628,0A875,352,R352
15304,11292,"Tampa, FL","Denver, CO",1506,0A875,353,R353
15376,11292,"Tucson, AZ","Denver, CO",639,0A875,354,R354
10713,11292,"Boise, ID","Denver, CO",649,6725,355,R355
11292,10140,"Denver, CO","Albuquerque, NM",349,6725,356,R356
11292,10821,"Denver, CO","Baltimore, MD",1491,6725,357,R357
11292,10994,"Denver, CO","Charleston, SC",1449,6725,358,R358
11292,11066,"Denver, CO","Columbus, OH",1154,6725,359,R359
11292,11884,"Denver, CO","Spokane, WA",836,6725,360,R360
11292,14730,"Denver, CO","Louisville, KY",1024,6725,361,R361
11292,14869,"Denver, CO","Salt Lake City, UT",391,6725,362,R362
11884,11292,"Spokane, WA","Denver, CO",836,6725,363,R363
14057,11292,"Portland, OR","Denver, CO",991,6725,364,R364
14679,11292,"San Diego, CA","Denver, CO",853,6725,365,R365
14747,11292,"Seattle, WA","Denver, CO",1024,6725,366,R366
14831,11292,"San Jose, CA","Denver, CO",948,6725,367,R367
11066,11292,"Columbus, OH","Denver, CO",1154,6003,368,R368
11292,10599,"Denver, CO","Birmingham, AL",1083,6003,369,R369
11292,11066,"Denver, CO","Columbus, OH",1154,6003,370,R370
11292,13487,"Denver, CO","Minneapolis, MN",680,6003,371,R371
11292,15370,"Denver, CO","Tulsa, OK",541,6003,372,R372
13851,11292,"Oklahoma City, OK","Denver, CO",495,6003,373,R373
11292,13485,"Denver, CO","Madison, WI",826,6460,374,R374
